ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
29-1,27/03/23 14:04:34,https://twitter.com/ItsJamMagno/status/1561255554915323904,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy traitor,@ItsJamMagno,Jam Magno,"Ibahin niyo ako, palaban to.
Queen of Facts. Empress of Satire. 
Prophetess of the Night.
Kakampangets' greatest Nightmare. 
#Uniteam #WinningTeam",Identified,08/15,0,76075,Butuan City,"Ninoy Aquino is a TRAITOR.

He joined forces with NPA to incite rebellion all over the country. 

He joined forces with Malaysia in supporting MNLF, a terrorist group back then, destabilizing Mindanao to stop our claim with Sabah.

He was then killed by his own Family.",,Text,21/08/22 15:35,https://drive.google.com/file/d/1DxOmUAmY11s7lTuSRAnPyIkZgaLeUgsX/view?usp=share_link,Rational,1229,73,270,21,,,"While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.

[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]",,,
29-2,27/03/23 20:03:57,https://twitter.com/Edelwei8/status/1216449194107588613,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Ninoy not a hero,@Edelwei8,Edelweiß,,Identified,10/17,686,384,,"Mga Dilawang Corrupt tumigil na kayo . Mga salot ang Aquino ang may Likha ng NPA ISIS sa Bansa. Sa Panahon ni Ymarcos walang kumain ng Pagpag . Noong namuno ang mga Aquino lubog ang pilipinas sa kahirapan  mga tao Pagpag ang kinakain ginawang Bill pa nga ni Bam2x aquino.

{Alt-text image: a Manila Times newspaper with the headline 'Aquino govt is most corrupt'}",,"Text, Image, Reply",13/01/20 03:57,https://drive.google.com/file/d/1OVYkidQUO0OwGTAwavZaEbBJgr5PupqJ/view?usp=share_link,Emotional,3,0,1,,,,"The founder of the CPP-NPA is Jose Maria Sison, while the founder of the MNLF is Nur Misuari. There is no proof that Aquino helped organize either organization.

[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]


Former Senator Bam Aquino proposed Senate Bill No. 357 or the Zero Waste Food Bill, which hopes to reduce food wastage and address hunger by mandating restaurants and supermarkets to give unserved food — not leftovers — to food banks for distribution to poor Filipino families. In short, this bill will not give out ""pagpag"" or recycled food from garbage to poor Filipino families.

[https://verafiles.org/articles/vera-files-fact-check-fake-bam-aquino-statement-food-waste-r]",No bio and location,,
29-3,27/03/23 20:19:20,https://twitter.com/modernjuana/status/1473138477134802952,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Plaza Miranda Bombing Aquino,@modernjuana,ModernPinay,PROTECTING MY TWEETS AGAINST MASS REPORTING OF DISENTENG LUGAWS 🤷🏻‍♀️,Anonymous,05/16,630,666,,"I hope you’re aware that most of the exNPA (Victor Corpus, Mentong Laurel, Perry Callanta) already confessed that the Plaza Miranda bombing was concocted by Ninoy Aquino 🥱 Do your research please and stop making a fool of yourself. Sayang data niyo. Use it productively 😏",,"Text, Reply",21/12/21 11:49,https://drive.google.com/file/d/1gzhkfrqwDivq9ieX9Vw1alF6rdQTC_qT/view?usp=share_link,"Rational, Emotional",0,0,0,,,,"There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing. Furthermore, no witnesses has ever tagged him as a suspect to the said bombing.

[https://factsfirstph-partners.rappler.com/4214/fact-check-jay-sonza-says-ninoy-aquino-jr-joma-sison-masterminds-1971-plaza-miranda-bombing/]",No location,,
29-4,27/03/23 21:18:06,https://twitter.com/SJsebs/status/1311503703568863233,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Plaza Miranda Bombing Aquino,@SJsebs,Steve James Sebastian,"@SJsebs

It's Okay If You Don't Like Me. Not Everyone Has Good Taste.",Identified,07/18,25,29,,Remember that Ninoy Aquino is the mastermind of Plaza Miranda Bombing and he blamed former President Marcos Sr. For the brutal killing.  Ask Jovito Salonga about  Ninoy Aquino,,"Text, Reply",01/10/20 11:10,https://drive.google.com/file/d/1XVbslv2Hndz2LG-SqGYCg_T5M-aUo--8/view?usp=share_link,Rational,4,1,0,,,,"There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing. Furthermore, no witnesses has ever tagged him as a suspect to the said bombing.

[https://factsfirstph-partners.rappler.com/4214/fact-check-jay-sonza-says-ninoy-aquino-jr-joma-sison-masterminds-1971-plaza-miranda-bombing/]",No location,,
29-5,27/03/23 21:18:17,https://twitter.com/ericarreza/status/1164107816996495361,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Plaza Miranda Bombing Aquino,@ericarreza,#1w1lツ,P***** I** ANG SARAP NG MAHALIN MO PILIPINAS!!! 😍😘♥️🇵🇭🇵🇭🇵🇭,Identified,05/09,5001,1211,Pearl of The Orient Sea,"And here's another reason why #NinoyNotAHero and this was happened 12 years before Sen. Ninoy Aquino was assassinated. Remember the Plaza Miranda bombing w/c was orchestrated by the commies & the Aquinos.

{Alt-text youtube video: A Youtube Video URL titled ""Victor Corpus - Plaza Miranda Bombing""}",,"Text, Video, URL, Reply",21/08/19 17:31,https://drive.google.com/file/d/15aEjCAug8ohaqQ5q1-8334p692LO7_Zb/view?usp=share_link,Rational,6,0,0,,,,"There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing. Furthermore, no witnesses has ever tagged him as a suspect to the said bombing.

[https://factsfirstph-partners.rappler.com/4214/fact-check-jay-sonza-says-ninoy-aquino-jr-joma-sison-masterminds-1971-plaza-miranda-bombing/]",Location might be pertaining to Philippines,,
29-6,27/03/23 21:18:26,https://twitter.com/xOrigin24x/status/1529351885295177730,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Plaza Miranda Bombing Aquino,@xOrigin24x,xOriginx,paid troll daw ako 🤭👊🏼🇵🇭,Anonymous,12/21,758,110,,Who in the world wouldn’t change a mind when you realizes you are being use and became a victim of CCP-NPA who uses the HR for rebels agenda. Especially when victor corpus reveal the truth of plaza miranda bombing which exposes Joma Sison and Ninoy Aquino as a mastermind.🤔🤔🤔,,"Text, Reply",25/05/22 14:41,https://drive.google.com/file/d/1dpq-hqOgdGmPIcXErFSjbspQiFd8v28w/view?usp=share_link,Rational,2,2,0,,,,"There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing. Furthermore, no witnesses has ever tagged him as a suspect to the said bombing.

[https://factsfirstph-partners.rappler.com/4214/fact-check-jay-sonza-says-ninoy-aquino-jr-joma-sison-masterminds-1971-plaza-miranda-bombing/]",No location,,
29-7,27/03/23 21:18:41,https://twitter.com/Valawud/status/1296612206340014080,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Plaza Miranda Bombing Aquino,@Valawud,RIGHT ON POINT,"11 Blessed r u when people insult u, persecute u & falsely say ol kinds of evil against u bcoz of ME; 12 Rejoice & b glad, bcoz great s ur reward n heaven.",Anonymous,02/10,1215,36,Quezon City,"@News5PH
 REPORT ALSO THAT NINOY AQUINO WAS RESPONSIBLE FOR THE PLAZA MIRANDA BOMBING BEING AFFILIATED WITH THE PERPETRATORS - CPP NPA; THAT'S WHY, DURING THE BOMBING HE WASN'T THERE, WHEN THAT'S SUPPOSED TO BE THE MITING DE AVANCE OF HIS POLITICAL PARTY;",,"Text, Reply",21/08/20 08:56,https://drive.google.com/file/d/1UfK4306BALlMpI-k_QeIv5pBundCUFFw/view?usp=share_link,Rational,13,0,2,,,,"There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing. Furthermore, no witnesses has ever tagged him as a suspect to the said bombing.

[https://factsfirstph-partners.rappler.com/4214/fact-check-jay-sonza-says-ninoy-aquino-jr-joma-sison-masterminds-1971-plaza-miranda-bombing/]",,,
29-8,27/03/23 21:19:46,https://twitter.com/deanfortun168/status/1232191595413327872,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Plaza Miranda Bombing Aquino,@deanfortun168,Dean Fortun 🇵🇭,Pragmatist. Realist. Futurist. Quid quid latet adparebit. Nil inultum remanebit.,Identified,10/16,2633,4973,Republic of the Philippines,"Since yellows & communists prefer to not move forward w/ torture narratives, let's not forget the role of Ninoy Aquino in the formation of the NPA & the Plaza Miranda bombing.
Because of Ninoy, there would have been NO Martial Law.
Let that be marked in history. 
#EDSAnotherJoke",,"Text, Reply",25/02/20 14:32,https://drive.google.com/file/d/10z0hQuLDjBdjL1saojmBT2QAstYS6le7/view?usp=share_link,Rational,4,0,1,,,,"There is no solid evidence yet that proves Ninoy Aquino's absence in the political rally has a direct connection to him orchestrating the bombing. Furthermore, no witnesses has ever tagged him as a suspect to the said bombing.

[https://factsfirstph-partners.rappler.com/4214/fact-check-jay-sonza-says-ninoy-aquino-jr-joma-sison-masterminds-1971-plaza-miranda-bombing/]",,,
29-9,27/03/23 22:22:43,https://twitter.com/ofthewings777/status/1598975767589031936,29,"Libiran, Kyle David",AQNO,Allegations Surrounding the Aquinos,"Aquino, fake hero Ninoy, Cory, Noynoy",@ofthewings777,Yaoshor,,Anonymous,06/10,31,16,Republic of the Philippines,"Those Aquinos are curses to the Philippines and the country could be better if not for them especially that fake hero Ninoy and the power grabber Cory! As for Noynoy, he did not make significant improvement to the Filipinos lives because of too much politicking and mistakes!",,"Text, Reply",03/12/22 17:41,,"Rational, Emotional",1,0,1,,,,"Most of the content of his/her tweet were opinions and there were no evidence given that Ninoy is a fake hero and that Cory was a power grabber. Also, as for the allegation that Noynoy did not make any improvement in the grovernment it is untrue because according to the numbers during his time the Philippine economy saw some of its highest growth rates. Also, the inflation reached record lows during his time. The Philippines also had unprecedented investment rating under him. He had a lot of achievements like, Infra projects, Underspending and many more. So the allegation that there were no improvements during Noynoys time was false.                     
                                                                                                                                                                                                                                                                        [https://newsinfo.inquirer.net/1450807/noynoy-aquinos-rule-numbers-tell-part-of-the-story]",No Bio,,
29-10,28/03/23 09:38:51,https://twitter.com/altGenie/status/1399267334896816130,29,"Cadiang, Ivan Cassidy",AQNO,Allegations Surrounding the Aquinos,Aquino sold scarborough,@altGenie,Gene Altamonte,,Identified,04/20,108,831,,"The sins of the father is not of the son. But then again, Ninoy sold Sabah while BS Aquino sold Scarborough.",,"Text, Reply",31/05/21 15:31,https://drive.google.com/file/d/1SXEYyrhrg6eqMuPOIpvxVfrqQ59zZ4_Q/view?usp=share_link,Rational,4,0,0,,,,"The claim on Ninoy Aquino selling Sabah is still unproven. Hermes Dorado, former national territory division head of the Department of Foreign Affairs, claimed in 2013 that Aquino met with then-Malaysian Prime Minister Mohammad Mahathir. In the supposed meeting, which allegedly took place before Aquino returned to the Philippines from self-exile in the United States, the former senator told Mahathir that he would drop the Philippines’ claim on Sabah once in power, in exchange for Malaysia’s support to oust Marcos. Aquino was assassinated on his return on Aug. 21, 1983.

Dorado said he indirectly confirmed this piece of information from former ambassador and retired general Rafael Ileto. This claim could not be verified by documents or other accounts.

[https://verafiles.org/articles/vera-files-fact-check-graphic-makes-false-unproven-claims-vs]


There is no official confirmation from China that the Aquino administration sold Scarborough Shoal.

The Aquino administration did lose effective control of the territory in April 2012 after a tense standoff with China. But following this loss, the Aquino administration challenged China’s 9-dash claim over the disputed territories in the South China Sea. 

[https://www.rappler.com/newsbreak/fact-check/228539-china-confirms-noynoy-aquino-trillanes-sold-scarborough-shoal/]",No bio and location,,
